[2026-09-13 21:25:07 TP0 EP0] Decode batch, #running-req: 1, #full token: 73472, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 688.59, #queue-req: 0
[2026-09-13 21:25:07 TP0 EP0] Decode batch, #running-req: 1, #full token: 73728, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 688.43, #queue-req: 0
[2026-09-13 21:25:08 TP0 EP0] Decode batch, #running-req: 1, #full token: 73984, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 687.63, #queue-req: 0
[2026-09-13 21:25:08 TP0 EP0] Decode batch, #running-req: 1, #full token: 74240, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 688.80, #queue-req: 0
[2026-09-13 21:25:08 TP0 EP0] Decode batch, #running-req: 1, #full token: 74240, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 688.24, #queue-req: 0
[2026-09-13 21:25:09 TP0 EP0] Decode batch, #running-req: 1, #full token: 74496, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 688.58, #queue-req: 0
[2026-09-13 21:25:09 TP0 EP0] Decode batch, #running-req: 1, #full token: 74752, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 688.60, #queue-req: 0
[2026-09-13 21:25:10 TP0 EP0] Decode batch, #running-req: 1, #full token: 75008, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 689.88, #queue-req: 0
[2026-09-13 21:25:10 TP0 EP0] Decode batch, #running-req: 1, #full token: 75264, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 689.01, #queue-req: 0
[2026-09-13 21:25:10 TP0 EP0] Decode batch, #running-req: 1, #full token: 75520, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 688.01, #queue-req: 0
[2026-09-13 21:25:11 TP0 EP0] Decode batch, #running-req: 1, #full token: 75776, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 689.64, #queue-req: 0
[2026-09-13 21:25:11 TP0 EP0] Decode batch, #running-req: 1, #full token: 76032, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 688.50, #queue-req: 0
[2026-09-13 21:25:11 TP0 EP0] Decode batch, #running-req: 1, #full token: 76288, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 689.04, #queue-req: 0
[2026-09-13 21:25:12 TP0 EP0] Decode batch, #running-req: 1, #full token: 76544, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 688.35, #queue-req: 0
[2026-09-13 21:25:12 TP0 EP0] Decode batch, #running-req: 1, #full token: 76800, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 688.10, #queue-req: 0
[2026-09-13 21:25:12 TP0 EP0] Decode batch, #running-req: 1, #full token: 77056, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 686.81, #queue-req: 0
[2026-09-13 21:25:13 TP0 EP0] Decode batch, #running-req: 1, #full token: 77312, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 688.29, #queue-req: 0
[2026-09-13 21:25:13 TP0 EP0] Decode batch, #running-req: 1, #full token: 77568, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 688.04, #queue-req: 0
[2026-09-13 21:25:13 TP0 EP0] Decode batch, #running-req: 1, #full token: 77824, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 688.21, #queue-req: 0
